觀測時間,測站氣壓,海平面氣壓,氣溫,露點溫度,相對溼度,風速,風向,最大陣風,最大陣風風向,降水量,降水時數,日照時數,全天空日射量,能見度,紫外線指數,總雲量
2010-06-02-15,1010.7,1011.5,21.8,18.2,80,5.4,70,12.2,70,0.5,0.8,0,0.7,N/A,3,10
2010-06-02-16,1010.8,1011.6,21.6,17.9,79,3.4,70,13.8,70,T,0.9,0,0.35,N/A,1,10
2010-06-02-17,1010.8,1011.6,21.7,18,79,2.9,80,9,70,T,1,0,0,6,0,10
2010-06-02-18,1011.4,1012.2,20.8,17.6,82,4.8,70,11.4,60,0.5,1,0,0,N/A,0,N/A
2010-06-02-19,1011.7,1012.5,20.5,17.8,85,4,80,9.6,60,1,1,0,0,N/A,0,N/A
2010-06-02-20,1012,1012.8,20.3,17.5,84,5.5,70,10.4,70,0.5,1,N/A,0,6,0,10
2010-06-02-21,1012.4,1013.2,20.1,17.5,85,5,70,10.8,60,1,1,N/A,0,6,0,10
2010-06-02-22,1012.4,1013.2,19.9,17.5,86,2.7,80,9.7,70,2,1,N/A,0,N/A,0,N/A
2010-06-02-23,1012,1012.8,19.8,17.8,88,3,90,8.6,60,1.5,1,N/A,0,6,0,10
2010-06-02-24,1011.3,1012.1,19.9,18.2,90,3.2,80,7.3,70,3,1,N/A,0,N/A,0,N/A
2010-06-03-01,1010.7,1011.5,20.2,18.8,92,2.6,90,5.7,90,3.5,1,N/A,0,N/A,0,N/A
2010-06-03-02,1010.2,1011,20.7,19.4,92,1.8,80,5.9,100,1.5,1,N/A,0,6,0,10
2010-06-03-03,1009.9,1010.7,21,19.7,92,2.5,70,5.9,60,1.5,1,N/A,0,N/A,0,N/A
2010-06-03-04,1009.9,1010.7,21.1,19.7,92,3.7,70,7.7,70,2,1,N/A,0,N/A,0,N/A
2010-06-03-05,1009.9,1010.7,21.3,19.8,91,3.8,60,7.5,60,2,1,N/A,0,6,0,10
2010-06-03-06,1010.3,1011.1,21.4,20.1,92,4,70,8.2,60,3,1,0,0,N/A,0,N/A
2010-06-03-07,1010.5,1011.3,21.7,20.4,92,2.5,60,7.5,60,4.5,1,0,0,N/A,0,N/A
2010-06-03-08,1010.5,1011.3,22,20.8,93,3.2,60,7.4,60,4,1,0,0,5,0,10
2010-06-03-09,1010.5,1011.3,22.5,21.2,92,3,60,7.2,80,2.5,1,0,0.34,5,1,10
2010-06-03-10,1010.3,1011.1,22.7,21.5,93,3.7,70,6.7,60,3,1,0,0.6,N/A,2,10
2010-06-03-11,1009.7,1010.5,23.1,21.9,93,2.4,60,8.5,50,2.5,1,0,0.6,6,3,10
2010-06-03-12,1009.4,1010.2,23.3,21.8,91,3.1,60,7.4,60,1.5,1,0,0.6,N/A,3,10
2010-06-03-13,1009,1009.8,23.2,21.7,91,3.1,60,7.8,60,1.5,1,0,0.6,N/A,2,10
2010-06-03-14,1008.5,1009.3,23.1,21.4,90,4.7,60,8.4,50,1.5,1,0,0.6,6,2,10
2010-06-03-15,1008.2,1009,23.3,21.6,90,4.7,60,8.8,70,0.5,1,0,0.6,N/A,3,10
2010-06-03-16,1008,1008.8,23.5,21.4,88,3.9,70,8.9,50,T,1,0,0.6,N/A,2,10
2010-06-03-17,1008.2,1009,23.5,21.6,89,3.6,60,8.7,80,T,1,0,0.48,12,1,10
2010-06-03-18,1008.4,1009.2,23.3,20.6,85,4.8,60,9.7,60,T,0.1,0,0,N/A,0,N/A
2010-06-03-19,1008.6,1009.4,23.2,20.8,86,5.2,60,8.9,50,0,0,0,0,N/A,0,N/A
2010-06-03-20,1008.9,1009.7,23.2,21,87,4.2,60,9.2,70,0,0,N/A,0,10,0,10
2010-06-03-21,1009.2,1010,22.9,20.5,86,4.1,60,8.9,30,0.5,1,N/A,0,10,0,10
2010-06-03-22,1008.9,1009.7,23,20.7,87,4.3,70,7.8,60,T,0.8,N/A,0,N/A,0,N/A
2010-06-03-23,1008.6,1009.4,23.2,20.6,85,4.4,60,10.2,60,0,0,N/A,0,10,0,10
2010-06-03-24,1007.6,1008.4,23.1,20.6,86,5.3,60,9.5,60,T,0.7,N/A,0,N/A,0,N/A
2010-06-04-01,1007.1,1007.9,23.3,20.7,85,4.7,60,10.4,60,T,0.5,N/A,0,N/A,0,N/A
2010-06-04-02,1006.7,1007.4,23.5,20.5,83,4.7,60,10.3,80,0,0,N/A,0,10,0,10
2010-06-04-03,1006.5,1007.2,23.5,20.4,83,4.8,60,10.4,60,0,0,N/A,0,N/A,0,N/A
2010-06-04-04,1006.3,1007,23.6,20.5,83,5.5,70,9.4,60,0,0,N/A,0,N/A,0,N/A
2010-06-04-05,1006.6,1007.3,23.6,20.5,83,3.6,60,9.3,70,0,0,N/A,0,12,0,9
2010-06-04-06,1006.9,1007.6,23.9,20.9,83,4.7,60,8.8,70,0,0,0,0,N/A,0,N/A
2010-06-04-07,1007.3,1008,25.1,21.9,82,3.6,70,9.1,60,0,0,0,0.47,N/A,1,N/A
2010-06-04-08,1007.5,1008.2,26.3,22.4,79,4.2,60,8.9,70,0,0,0.7,1.19,15,2,8
2010-06-04-09,1007.4,1008.1,26.6,22.2,77,4.7,60,10.4,60,0,0,0.3,1.55,15,4,9
2010-06-04-10,1007.5,1008.2,26.7,22.4,77,5.4,70,10.4,60,0,0,0.2,1.86,N/A,6,9
2010-06-04-11,1007.4,1008.1,26.4,22.1,77,5.1,70,10.1,60,0,0,0.1,1.69,15,6,9
2010-06-04-12,1007.1,1007.8,26.4,22.2,78,3.7,70,9.8,70,0,0,0,1.01,N/A,5,10
2010-06-04-13,1007,1007.7,25.4,21.7,80,2.8,70,8.8,60,T,0.2,0,0.68,N/A,3,10
2010-06-04-14,1006.8,1007.5,25.1,21.7,81,2.8,70,6.7,70,T,1,0,0.6,10,2,10
2010-06-04-15,1007,1007.7,24.4,21.1,82,1.2,190,5.3,60,T,1,0,0.15,N/A,1,10
2010-06-04-16,1007.3,1008,24.1,20.7,81,1.6,130,4.1,130,T,1,0,0,N/A,1,10
2010-06-04-17,1007.8,1008.6,22.6,20.5,88,0.8,250,3.2,90,1,1,0,0,8,0,10
2010-06-04-18,1008.2,1009,22.4,20.7,90,0.3,340,3.2,330,2,1,0,0,N/A,0,N/A
2010-06-04-19,1008.5,1009.3,22.2,20.7,91,0.3,V,2.5,350,1,1,0,0,N/A,0,N/A
2010-06-04-20,1008.6,1009.4,22.2,20.7,91,1.1,160,2.6,270,0.5,1,N/A,0,4,0,10
2010-06-04-21,1008.8,1009.6,22,20.5,91,1.2,190,2.5,150,T,0.7,N/A,0,4,0,10
2010-06-04-22,1008.9,1009.7,22.1,20.5,91,1.1,240,2.6,250,0,0,N/A,0,N/A,0,N/A
2010-06-04-23,1008.6,1009.4,22.3,20.4,89,0.4,V,3,270,0,0,N/A,0,4,0,10
2010-06-04-24,1008.1,1008.9,22.1,20.4,90,1.1,240,2.8,270,T,0.5,N/A,0,N/A,0,N/A
2010-06-05-01,1007.5,1008.3,21.9,20.3,91,0.8,200,3.9,270,0,0,N/A,0,N/A,0,N/A
2010-06-05-02,1007.1,1007.9,21.8,20.3,91,1.3,200,2.2,190,0,0,N/A,0,6,0,10
2010-06-05-03,1007,1007.8,21.9,20.4,91,0.8,230,2,210,0,0,N/A,0,N/A,0,N/A
2010-06-05-04,1006.9,1007.7,21.9,20.3,91,0.8,220,2.4,250,0,0,N/A,0,N/A,0,N/A
2010-06-05-05,1007.3,1008.1,21.7,20.4,92,0.1,0,1.6,240,0,0,N/A,0,6,0,10
2010-06-05-06,1007.9,1008.7,22,20.6,92,1,110,2,110,0,0,0,0,N/A,0,N/A
2010-06-05-07,1008.6,1009.4,22.3,20.7,91,1,160,2.1,110,0,0,0,0,N/A,0,N/A
2010-06-05-08,1008.9,1009.7,22.5,20.7,90,1.1,190,2.3,170,T,0.7,0,0,4,0,10
2010-06-05-09,1009.1,1009.9,22.5,21.1,92,0.9,200,1.9,160,0.5,1,0,0.04,6,1,10
2010-06-05-10,1009.4,1010.2,22.5,21.2,92,0.9,150,2.5,260,1.5,1,0,0.05,N/A,1,10
2010-06-05-11,1009,1009.8,22.8,21.4,92,0.9,180,2.9,220,1,1,0,0.3,7,1,10
2010-06-05-12,1008.7,1009.5,23.1,21.6,91,1.6,150,2.3,150,T,1,0,0.19,N/A,1,10
2010-06-05-13,1008.4,1009.2,23.6,21.7,89,0.4,130,3,120,T,0.2,0,0.6,N/A,2,10
2010-06-05-14,1008,1008.8,23.5,20.7,84,0.9,120,3.3,60,T,0.1,0,0.26,10,1,10
2010-06-05-15,1008,1008.8,22.6,20.3,87,2.7,70,5.9,70,0.5,1,0,0.04,N/A,1,10
2010-06-05-16,1008,1008.8,22.8,20.7,88,1.1,90,4.5,50,T,1,0,0.04,N/A,0,10
2010-06-05-17,1008.3,1009.1,22.3,20,87,1.5,120,5.2,70,0.5,1,0,0,7,0,10
2010-06-05-18,1008.9,1009.7,22,20,88,1.1,150,3,130,T,1,0,0,N/A,0,N/A
2010-06-05-19,1009.3,1010.1,21.8,19.9,89,1.4,100,3.2,150,T,1,0,0,N/A,0,N/A
2010-06-05-20,1009.3,1010.1,21.6,19.9,90,1.8,110,4.1,80,0.5,1,N/A,0,6,0,10
2010-06-05-21,1009.4,1010.2,21.6,20,91,2.3,90,5.7,60,T,1,N/A,0,8,0,10
2010-06-05-22,1010,1010.8,21.6,19.9,90,2.3,70,6.5,60,T,1,N/A,0,N/A,0,N/A
2010-06-05-23,1009.5,1010.3,21.5,19.9,91,2.1,90,4.6,70,T,1,N/A,0,6,0,10
2010-06-05-24,1008.9,1009.7,21.4,20,92,1.3,90,4.2,90,T,1,N/A,0,N/A,0,N/A
2010-06-06-01,1008.4,1009.2,21.6,20.1,91,1.3,80,3.5,60,T,0.5,N/A,0,N/A,0,N/A
2010-06-06-02,1007.8,1008.6,21.6,20.1,91,1.5,110,3.6,90,0,0,N/A,0,8,0,10
2010-06-06-03,1008,1008.8,21.7,20.1,91,2,60,4.7,90,0,0,N/A,0,N/A,0,N/A
2010-06-06-04,1008.2,1009,21.6,20.1,91,0.7,60,3.9,60,0,0,N/A,0,N/A,0,N/A
2010-06-06-05,1008.6,1009.4,21.7,20.1,91,1.3,100,3.1,60,0,0,N/A,0,8,0,10
2010-06-06-06,1009,1009.8,21.8,20.2,91,1.5,130,2.8,110,0,0,0,0,N/A,0,N/A
2010-06-06-07,1009.6,1010.4,22.1,20.4,90,0.3,130,1.9,120,0,0,0,0,N/A,0,N/A
2010-06-06-08,1010.1,1010.9,22.2,20.4,90,1.2,110,2.5,90,0,0,0,0,8,0,10
2010-06-06-09,1010.1,1010.9,23.1,21,88,1,110,2.5,120,T,0.3,0,0.35,8,1,10
2010-06-06-10,1010,1010.8,23.4,21.1,87,0.3,340,3,270,0,0,0,0.77,N/A,2,10
2010-06-06-11,1009.9,1010.7,23.1,20.9,87,0.1,0,2.7,270,0.3,0.8,0,0.29,8,1,10
2010-06-06-12,1009.5,1010.3,23.3,21,87,0.3,60,2,240,T,0.3,0,0.32,N/A,2,10
2010-06-06-13,1009,1009.7,24.6,21.1,81,2.2,70,5.6,60,0,0,0,0.53,N/A,3,10
2010-06-06-14,1008.7,1009.4,24.1,20.8,82,2.9,70,5.8,80,0,0,0,0.74,10,3,10
2010-06-06-15,1008.9,1009.7,23.8,20.6,82,1.9,70,5.9,60,0,0,0,0.48,N/A,2,10
2010-06-06-16,1008.6,1009.4,23.7,20.5,82,3,70,4.9,70,0,0,0,0.17,N/A,1,10
2010-06-06-17,1008.8,1009.6,23.4,20.1,82,3.8,70,6.8,60,0,0,0,0.43,10,1,10
2010-06-06-18,1009,1009.8,23.4,19.5,79,2.9,90,7.7,70,0,0,0.1,0.03,N/A,0,N/A
2010-06-06-19,1009.5,1010.3,23.1,19.7,81,4,70,7.9,70,0,0,0,0,N/A,0,N/A
2010-06-06-20,1009.7,1010.5,23.1,19.8,82,3,90,6.7,60,0,0,N/A,0,12,0,10
2010-06-06-21,1010.2,1011,23,19.9,83,3.2,70,6.5,100,0,0,N/A,0,12,0,10
2010-06-06-22,1010.3,1011.1,22.7,19.5,82,3.4,80,7.3,60,0,0,N/A,0,N/A,0,N/A
2010-06-06-23,1010.2,1011,22.3,19.4,84,2.7,70,6.3,60,0,0,N/A,0,12,0,6
2010-06-06-24,1010.1,1010.9,22.6,19.6,83,2,100,4.8,60,0,0,N/A,0,N/A,0,N/A
2010-06-07-01,1009.8,1010.6,22.6,19.7,84,1.4,90,3.7,80,0,0,N/A,0,N/A,0,N/A
2010-06-07-02,1009.9,1010.7,22.6,19.7,84,0.3,110,2.8,90,0,0,N/A,0,10,0,10
2010-06-07-03,1009.7,1010.5,22.2,19.6,85,0.3,190,2.2,80,0,0,N/A,0,N/A,0,N/A
2010-06-07-04,1009.9,1010.7,21.9,19.5,86,0,0,1.8,170,0,0,N/A,0,N/A,0,N/A
2010-06-07-05,1010.4,1011.2,22,19.5,86,0.3,190,1.4,190,0,0,N/A,0,10,0,10
2010-06-07-06,1010.9,1011.7,21.9,18.9,83,0.5,210,1.9,210,0,0,0,0,N/A,0,N/A
2010-06-07-07,1011.4,1012.2,22.5,19.2,82,0.2,0,1.7,210,0,0,0,0.28,N/A,0,N/A
2010-06-07-08,1011.6,1012.4,23.7,20.2,81,0.1,0,1.7,90,0,0,0,0.57,12,1,6
2010-06-07-09,1011.6,1012.3,25.3,20.6,75,0.4,150,2.8,270,0,0,0.1,0.78,15,2,7
2010-06-07-10,1011.1,1011.8,27.6,20.4,65,2,90,4.8,60,0,0,0.8,2.26,N/A,5,7
2010-06-07-11,1010.8,1011.5,27.6,19.9,63,3.7,80,8.3,90,0,0,1,2.84,20,8,4
2010-06-07-12,1010.2,1010.9,28,19.8,61,4.8,70,9.2,60,0,0,1,2.99,N/A,9,4
2010-06-07-13,1009.8,1010.5,28.6,19.9,59,4.1,60,10.3,80,0,0,1,3,N/A,9,5
2010-06-07-14,1009.5,1010.2,28.6,20,60,3.5,30,9.5,30,0,0,1,2.59,20,8,4
2010-06-07-15,1009.6,1010.3,27.1,19.2,62,6.8,60,11.5,70,0,0,1,2.05,N/A,5,2
2010-06-07-16,1009.2,1009.9,26.7,19.1,63,5.3,50,11.6,70,0,0,0.7,1.56,N/A,3,2
2010-06-07-17,1009.6,1010.3,25.5,18.5,65,3.7,60,12.9,60,0,0,1,0.96,18,1,1
2010-06-07-18,1010.1,1010.8,24.5,18.4,69,5.4,60,11.6,70,0,0,0.6,0.35,N/A,0,N/A
2010-06-07-19,1010.8,1011.6,23.8,18.8,74,4.8,60,11.5,60,0,0,0,0,N/A,0,N/A
2010-06-07-20,1011,1011.8,23.5,18.9,75,5.1,70,9.9,80,0,0,N/A,0,15,0,6
2010-06-07-21,1011.3,1012.1,23.2,19.2,78,2.5,70,10.1,60,0,0,N/A,0,15,0,2
2010-06-07-22,1011.4,1012.2,22.9,19.4,81,5.1,70,8.8,60,0,0,N/A,0,N/A,0,N/A
2010-06-07-23,1011.3,1012.1,22.8,19.5,82,3.7,70,8.8,70,0,0,N/A,0,15,0,2
2010-06-07-24,1010.8,1011.6,22.6,19.4,82,3.5,70,8,70,0,0,N/A,0,N/A,0,N/A
2010-06-08-01,1010,1010.8,22.4,19.5,84,2.4,80,6.8,70,0,0,N/A,0,N/A,0,N/A
2010-06-08-02,1009.8,1010.6,22.3,19.4,84,2.6,100,6,70,0,0,N/A,0,15,0,2
2010-06-08-03,1009.9,1010.7,22.2,19.4,84,2.5,80,5.9,70,0,0,N/A,0,N/A,0,N/A
2010-06-08-04,1009.9,1010.7,22.1,19.2,84,2.2,100,6.8,80,0,0,N/A,0,N/A,0,N/A
2010-06-08-05,1010.5,1011.3,22.1,19,83,2.4,80,6.2,70,0,0,N/A,0,14,0,2
2010-06-08-06,1011,1011.8,22.5,19.9,85,1.6,90,4.9,80,0,0,0.1,0.01,N/A,0,N/A
2010-06-08-07,1011.7,1012.5,23.8,20.4,81,2,100,3.9,60,0,0,0.6,0.64,N/A,0,N/A
2010-06-08-08,1011.7,1012.4,24.9,20.3,76,3.4,70,7.3,80,0,0,0.7,1.22,15,2,6
2010-06-08-09,1011.2,1011.9,26.1,20.2,70,4.7,70,9.2,60,0,0,1,1.97,15,4,2
2010-06-08-10,1010.9,1011.6,27.3,20.4,66,4.3,60,9.5,70,0,0,1,2.4,N/A,6,1
2010-06-08-11,1010.4,1011.1,28.1,20.7,64,4.3,50,8.8,70,0,0,1,2.94,18,8,3
2010-06-08-12,1009.9,1010.6,28.6,20.8,63,5.7,60,9.6,60,0,0,1,3,N/A,9,2
2010-06-08-13,1009.4,1010.1,28.9,20.9,62,5,60,9.6,60,0,0,1,3,N/A,9,2
2010-06-08-14,1009.2,1009.9,28.7,21.1,64,4.3,70,10.3,60,0,0,0.9,2.44,15,8,4
2010-06-08-15,1008.9,1009.6,27.9,20.8,65,5.6,70,11.7,80,0,0,1,2.09,N/A,6,2
2010-06-08-16,1008.4,1009.1,27.6,20.7,66,5.1,50,10.8,70,0,0,0.8,1.54,N/A,3,3
2010-06-08-17,1008.4,1009.1,26.3,19.9,68,5.9,70,9.6,70,0,0,1,0.89,12,1,3
2010-06-08-18,1008.7,1009.4,25.4,19.7,71,5.2,60,10.3,50,0,0,0.6,0.35,N/A,0,N/A
2010-06-08-19,1009.2,1009.9,24.6,19.5,73,6,60,11.5,60,0,0,0,0,N/A,0,N/A
2010-06-08-20,1009.7,1010.4,24.6,19.5,73,4.6,70,9.8,80,0,0,N/A,0,12,0,3
2010-06-08-21,1010.2,1010.9,24.4,19.4,74,4.7,60,9.8,60,0,0,N/A,0,12,0,4
2010-06-08-22,1010.4,1011.2,24.4,19.7,75,4.7,60,8.9,60,0,0,N/A,0,N/A,0,N/A
2010-06-08-23,1010.1,1010.8,24.5,19.7,75,4.7,60,7.9,70,0,0,N/A,0,12,0,10
2010-06-08-24,1009.2,1009.9,24.2,19.7,76,3.5,70,8.9,60,0,0,N/A,0,N/A,0,N/A
2010-06-09-01,1008.7,1009.4,24.3,20,77,2.4,70,4.9,50,0,0,N/A,0,N/A,0,N/A
2010-06-09-02,1008.2,1008.9,24,20,78,0.6,110,4.4,80,0,0,N/A,0,12,0,8
2010-06-09-03,1007.9,1008.6,23.9,20,79,0.3,40,2.3,70,0,0,N/A,0,N/A,0,N/A
2010-06-09-04,1007.6,1008.3,23.9,20.1,79,0.2,0,1.6,360,0,0,N/A,0,N/A,0,N/A
2010-06-09-05,1007.8,1008.5,23.9,20.1,79,0,0,2,130,0,0,N/A,0,10,0,8
2010-06-09-06,1008,1008.7,24.1,20.5,80,0.3,120,1.5,250,0,0,0,0,N/A,0,N/A
2010-06-09-07,1009,1009.7,25.6,20.9,75,0.7,150,2,190,0,0,0.4,0.48,N/A,0,N/A
2010-06-09-08,1009.6,1010.3,26.6,21,71,0.1,0,2.7,140,0,0,0.1,0.63,10,1,6
2010-06-09-09,1009.6,1010.3,28.7,22,67,0.3,V,2.4,90,0,0,1,1.69,10,4,2
2010-06-09-10,1009.2,1009.9,30.1,21.9,62,1.6,220,4.7,210,0,0,1,2.09,N/A,5,4
2010-06-09-11,1008.4,1009.1,31.8,22.4,58,0.6,180,3.7,210,0,0,1,2.27,8,7,4
2010-06-09-12,1007.6,1008.3,32.3,22.3,56,0.9,290,3.3,230,0,0,0.9,2.61,N/A,8,5
2010-06-09-13,1007.5,1008.2,31.2,23,62,3.9,310,9,300,0,0,0.5,2.12,N/A,7,8
2010-06-09-14,1007.1,1007.8,30.4,22.6,63,3,310,9.7,300,0,0,0.2,1.49,6,4,9
2010-06-09-15,1007.1,1007.8,29.4,21.9,64,2.8,300,7.8,290,0,0,0.4,1.25,N/A,3,10
2010-06-09-16,1007.4,1008.1,27.6,21.2,68,2.4,290,7.8,300,0,0,0,0,N/A,0,10
2010-06-09-17,1007.5,1008.2,27.2,21.4,71,1.1,300,5.6,300,0,0,0,0,6,0,10
2010-06-09-18,1008.3,1009,27.5,21.6,70,1.2,300,3.9,300,0,0,0,0,N/A,0,N/A
2010-06-09-19,1009,1009.7,27.2,21.5,71,0.8,290,3.5,290,0,0,0,0,N/A,0,N/A
2010-06-09-20,1009.4,1010.1,26.2,22,78,0.6,190,3,280,0.1,0.8,N/A,0,4,0,10
2010-06-09-21,1009.5,1010.2,26,22.4,81,2.1,160,3.9,140,0,0,N/A,0,6,0,10
2010-06-09-22,1010,1010.7,26,22.1,79,2.5,160,4.5,160,0,0,N/A,0,N/A,0,N/A
2010-06-09-23,1009,1009.7,25.8,22,80,1.6,70,3.9,100,0,0,N/A,0,7,0,9
2010-06-09-24,1008.6,1009.3,25.9,22.1,80,2.3,30,4.2,30,0,0,N/A,0,N/A,0,N/A
2010-06-10-01,1008.8,1009.5,25.9,22.2,80,0.5,70,4,60,0,0,N/A,0,N/A,0,N/A
2010-06-10-02,1008.4,1009.1,25.8,22.1,80,2.3,120,4.4,90,0,0,N/A,0,6,0,10
2010-06-10-03,1007.8,1008.5,25.5,22,81,0.5,190,3.6,120,0,0,N/A,0,N/A,0,N/A
2010-06-10-04,1007.7,1008.4,25.4,22,81,1.6,120,3.2,170,0,0,N/A,0,N/A,0,N/A
2010-06-10-05,1007.8,1008.5,25.2,22.1,83,1.8,150,3.2,160,0,0,N/A,0,7,0,10
2010-06-10-06,1008.2,1008.9,25.4,22.2,82,0.3,100,3.3,150,0,0,0,0,N/A,0,N/A
2010-06-10-07,1008.4,1009.1,25.6,22.3,82,1.1,170,2.4,100,0,0,0,0,N/A,0,N/A
2010-06-10-08,1008.9,1009.6,26.2,22.5,80,1.1,110,2.5,120,0,0,0,0,10,0,10
2010-06-10-09,1008.9,1009.6,26.1,22.9,83,0.6,200,1.8,90,0.2,0.7,0,0,8,0,10
2010-06-10-10,1008.5,1009.2,26,22.8,83,2,160,3,160,0.2,1,0,0.18,N/A,1,10
2010-06-10-11,1007.8,1008.5,26.6,23.2,82,0.8,100,2.9,100,T,0.3,0,0.56,8,2,10
2010-06-10-12,1007.9,1008.6,27.5,23.7,80,1.4,60,3,60,0,0,0,0.48,N/A,1,10
2010-06-10-13,1007.4,1008.1,28.1,24,78,1,360,2.9,80,0,0,0,0.55,N/A,2,10
2010-06-10-14,1006.3,1007,29,24.1,75,0.1,0,2.3,20,0,0,0,1.04,10,4,10
2010-06-10-15,1006,1006.7,29.3,24,73,0.9,320,3.3,340,0,0,0,0.66,N/A,2,10
2010-06-10-16,1006.6,1007.3,25.4,22.8,86,5.6,290,11.4,310,8.5,0.5,0,0,N/A,0,10
2010-06-10-17,1007.1,1007.8,25.3,23.5,90,0.9,320,7,300,20,1,0,0,2,0,10
2010-06-10-18,1007.1,1007.8,24.9,23.5,92,1.5,20,3.5,280,6.5,1,0,0,N/A,0,N/A
2010-06-10-19,1007.2,1007.9,25.1,23.4,90,1.9,80,4.1,60,1,1,0,0,N/A,0,N/A
2010-06-10-20,1007.2,1007.9,25.2,23.7,91,0.1,0,2.3,80,T,0.3,N/A,0,15,0,9
2010-06-10-21,1008,1008.7,25.1,24,94,0,0,1.5,210,1,0.3,N/A,0,10,0,10
2010-06-10-22,1008.2,1008.9,25,23.6,92,1.3,100,2,90,3,1,N/A,0,N/A,0,N/A
