芠代丁,代溃,キ溃,放,臩翴放,癸访,硉,,程皚,程皚,秖,计,ら酚计,ぱら甮秖,ǎ,档絬计,羆冻秖
2010-07-03-09,1005.9,1006.6,32.9,23.3,57,2.5,230,8.1,220,0.0,0.0,1.0,1.91,18.0,4,7.0
2010-07-03-10,1005.7,1006.4,34.9,24.3,54,1.9,230,6.0,240,0.0,0.0,1.0,2.40,N/A,7,6.0
2010-07-03-11,1005.2,1005.9,35.9,23.5,49,2.4,240,6.7,200,0.0,0.0,1.0,2.55,20.0,9,6.0
2010-07-03-12,1004.5,1005.2,36.6,23.2,46,3.2,240,7.3,270,0.0,0.0,1.0,2.61,N/A,10,8.0
2010-07-03-13,1003.9,1004.6,37.9,23.3,43,2.1,220,8.5,220,0.0,0.0,1.0,2.56,N/A,9,8.0
2010-07-03-14,1003.3,1004.0,38.0,22.3,41,4.4,240,11.0,270,0.0,0.0,0.9,2.28,22.0,8,8.0
2010-07-03-15,1003.1,1003.8,37.7,21.9,40,5.1,250,11.1,270,0.0,0.0,1.0,2.04,N/A,6,8.0
2010-07-03-16,1002.6,1003.3,36.9,23.2,46,4.1,230,10.9,250,0.0,0.0,0.7,1.38,N/A,4,8.0
2010-07-03-17,1002.8,1003.5,35.8,23.7,50,2.9,270,9.6,200,0.0,0.0,0.2,0.66,20.0,1,8.0
2010-07-03-18,1003.0,1003.7,34.5,24.0,55,2.2,270,8.4,260,0.0,0.0,0.2,0.13,N/A,0,N/A
2010-07-03-19,1003.8,1004.5,33.5,24.1,58,0.8,260,6.8,290,0.0,0.0,0.0,0.00,N/A,0,N/A
2010-07-03-20,1004.5,1005.2,32.4,24.8,64,1.0,280,6.6,290,0.0,0.0,N/A,0.00,18.0,0,6.0
2010-07-03-21,1005.1,1005.8,31.7,24.8,67,0.6,280,6.3,240,0.0,0.0,N/A,0.00,18.0,0,6.0
2010-07-03-22,1005.8,1006.5,31.2,24.5,68,0.7,280,5.6,300,0.0,0.0,N/A,0.00,N/A,0,N/A
2010-07-03-23,1005.8,1006.5,30.9,24.2,68,0.9,230,4.8,280,0.0,0.0,N/A,0.00,15.0,0,6.0
2010-07-03-24,1005.5,1006.2,30.5,23.8,68,1.7,260,4.3,280,0.0,0.0,N/A,0.00,N/A,0,N/A
2010-07-04-01,1005.2,1005.9,30.3,23.6,67,2.0,250,6.8,260,0.0,0.0,N/A,0.00,N/A,0,N/A
2010-07-04-02,1004.8,1005.5,29.8,23.5,69,1.8,250,4.6,260,0.0,0.0,N/A,0.00,15.0,0,4.0
2010-07-04-03,1004.3,1005.0,28.8,23.1,71,0.7,180,5.3,290,0.0,0.0,N/A,0.00,N/A,0,N/A
2010-07-04-04,1004.3,1005.0,28.5,22.7,71,0.7,220,2.5,230,0.0,0.0,N/A,0.00,N/A,0,N/A
2010-07-04-05,1004.8,1005.5,27.9,22.5,73,0.7,130,3.9,300,0.0,0.0,N/A,0.00,18.0,0,6.0
2010-07-04-06,1005.5,1006.2,29.0,23.1,71,0.6,280,5.1,270,0.0,0.0,0.0,0.00,N/A,0,N/A
2010-07-04-07,1006.0,1006.7,30.0,23.9,70,1.6,240,5.8,270,0.0,0.0,0.7,0.58,N/A,0,N/A
2010-07-04-08,1006.0,1006.7,31.1,24.3,67,2.4,260,6.2,280,0.0,0.0,0.6,1.24,20.0,2,8.0
2010-07-04-09,1005.7,1006.4,33.1,24.8,62,2.8,240,8.8,270,0.0,0.0,1.0,1.90,22.0,4,6.0
2010-07-04-10,1005.5,1006.2,34.0,24.4,57,3.8,270,10.6,250,0.0,0.0,0.9,2.10,N/A,6,6.0
2010-07-04-11,1005.1,1005.8,35.3,24.1,52,5.2,270,12.2,260,0.0,0.0,1.0,2.57,25.0,9,3.0
2010-07-04-12,1004.4,1005.1,36.6,23.9,48,3.7,250,11.9,280,0.0,0.0,1.0,2.97,N/A,10,1.0
2010-07-04-13,1003.9,1004.6,36.0,25.1,54,4.8,260,10.7,300,0.0,0.0,1.0,2.55,N/A,10,1.0
2010-07-04-14,1003.4,1004.1,36.4,25.5,54,3.9,250,9.2,300,0.0,0.0,0.9,2.38,20.0,9,2.0
2010-07-04-15,1003.2,1003.9,36.4,26.2,56,3.0,280,10.2,300,0.0,0.0,1.0,1.84,N/A,6,3.0
2010-07-04-16,1003.0,1003.7,35.4,25.9,58,3.1,280,10.6,300,0.0,0.0,0.8,1.42,N/A,4,3.0
2010-07-04-17,1003.0,1003.7,34.7,24.8,57,1.3,300,8.6,270,0.0,0.0,1.0,0.95,16.0,2,3.0
2010-07-04-18,1003.5,1004.2,33.8,24.3,58,1.7,280,7.1,260,0.0,0.0,0.7,0.50,N/A,0,N/A
2010-07-04-19,1003.6,1004.3,32.9,24.2,60,2.4,290,6.3,270,0.0,0.0,0.0,0.00,N/A,0,N/A
2010-07-04-20,1003.8,1004.5,32.3,24.2,62,1.1,300,6.5,290,0.0,0.0,N/A,0.00,15.0,0,1.0
2010-07-04-21,1004.3,1005.0,31.9,23.6,62,3.5,260,9.2,260,0.0,0.0,N/A,0.00,15.0,0,1.0
2010-07-04-22,1004.6,1005.3,31.1,24.4,68,0.8,240,6.7,240,0.0,0.0,N/A,0.00,N/A,0,N/A
2010-07-04-23,1004.6,1005.3,30.5,23.9,68,1.4,280,8.3,280,0.0,0.0,N/A,0.00,15.0,0,2.0
2010-07-04-24,1004.6,1005.3,30.1,23.9,69,1.9,280,7.4,280,0.0,0.0,N/A,0.00,N/A,0,N/A
2010-07-05-01,1004.2,1004.9,29.9,23.8,70,1.9,260,8.2,260,0.0,0.0,N/A,0.00,N/A,0,N/A
2010-07-05-02,1004.1,1004.8,29.7,23.9,71,1.6,240,6.2,280,0.0,0.0,N/A,0.00,16.0,0,5.0
2010-07-05-03,1004.0,1004.7,29.9,23.8,70,2.0,250,4.3,270,0.0,0.0,N/A,0.00,N/A,0,N/A
2010-07-05-04,1004.1,1004.8,29.4,23.8,72,1.7,250,4.6,270,0.0,0.0,N/A,0.00,N/A,0,N/A
2010-07-05-05,1003.9,1004.6,28.8,23.5,73,1.4,210,4.5,210,0.0,0.0,N/A,0.00,18.0,0,3.0
2010-07-05-06,1004.0,1004.7,29.2,23.9,73,2.0,260,4.8,270,0.0,0.0,0.0,0.00,N/A,0,N/A
2010-07-05-07,1004.2,1004.9,29.9,23.9,70,2.1,250,6.1,280,0.0,0.0,0.7,0.66,N/A,0,N/A
2010-07-05-08,1003.8,1004.5,31.6,24.0,64,1.7,240,6.1,220,0.0,0.0,0.7,1.31,18.0,2,4.0
2010-07-05-09,1003.0,1003.7,33.4,23.3,56,3.3,270,9.1,270,0.0,0.0,1.0,1.80,18.0,4,3.0
2010-07-05-10,1002.7,1003.4,35.4,24.0,52,1.3,250,7.8,260,0.0,0.0,1.0,2.40,N/A,7,3.0
2010-07-05-11,1002.7,1003.4,36.1,23.4,48,4.5,250,10.2,270,0.0,0.0,1.0,2.40,15.0,9,3.0
2010-07-05-12,1002.1,1002.8,36.9,23.6,47,5.5,260,13.2,270,0.0,0.0,1.0,2.41,N/A,10,3.0
2010-07-05-13,1001.8,1002.5,36.9,24.7,50,5.2,250,15.0,260,0.0,0.0,1.0,2.40,N/A,10,3.0
2010-07-05-14,1001.2,1001.9,36.8,25.8,53,4.8,250,11.2,280,0.0,0.0,0.9,2.30,15.0,8,3.0
2010-07-05-15,1000.9,1001.6,37.2,26.6,55,2.7,280,9.9,260,0.0,0.0,1.0,1.80,N/A,6,4.0
2010-07-05-16,1000.9,1001.6,36.6,26.6,57,3.0,290,10.5,280,0.0,0.0,0.6,1.27,N/A,3,4.0
2010-07-05-17,1001.0,1001.7,35.2,25.9,59,2.4,290,8.3,290,0.0,0.0,1.0,0.89,12.0,1,4.0
2010-07-05-18,1001.6,1002.3,33.9,25.9,63,2.0,290,7.3,280,0.0,0.0,0.7,0.42,N/A,0,N/A
2010-07-05-19,1002.2,1002.9,33.3,25.6,64,1.4,300,5.3,270,0.0,0.0,0.0,0.00,N/A,0,N/A
2010-07-05-20,1002.7,1003.4,32.7,25.5,66,0.6,280,4.7,290,0.0,0.0,N/A,0.00,12.0,0,6.0
2010-07-05-21,1003.2,1003.9,32.0,25.2,67,2.7,270,8.0,270,0.0,0.0,N/A,0.00,10.0,0,8.0
2010-07-05-22,1003.8,1004.5,31.2,24.6,68,2.2,250,7.8,230,0.0,0.0,N/A,0.00,N/A,0,N/A
2010-07-05-23,1004.1,1004.8,30.7,24.2,68,3.0,260,7.0,280,0.0,0.0,N/A,0.00,12.0,0,6.0
2010-07-05-24,1003.3,1004.0,30.3,24.1,70,2.6,250,5.7,280,0.0,0.0,N/A,0.00,N/A,0,N/A
2010-07-06-01,1003.3,1004.0,30.3,24.1,70,2.1,260,4.7,260,0.0,0.0,N/A,0.00,N/A,0,N/A
2010-07-06-02,1003.3,1004.0,30.0,24.0,70,2.0,230,7.0,240,0.0,0.0,N/A,0.00,12.0,0,4.0
2010-07-06-03,1003.5,1004.2,28.8,22.9,71,2.0,150,3.1,140,0.0,0.0,N/A,0.00,N/A,0,N/A
2010-07-06-04,1003.4,1004.1,28.4,22.4,70,1.5,150,3.4,140,0.0,0.0,N/A,0.00,N/A,0,N/A
2010-07-06-05,1003.7,1004.4,28.1,22.3,71,1.4,150,3.3,120,0.0,0.0,N/A,0.00,12.0,0,4.0
2010-07-06-06,1004.0,1004.7,28.1,22.5,72,1.0,130,2.9,130,0.0,0.0,0.0,0.00,N/A,0,N/A
2010-07-06-07,1003.8,1004.5,29.1,23.5,72,1.5,120,3.1,140,0.0,0.0,0.7,0.55,N/A,0,N/A
2010-07-06-08,1003.9,1004.6,31.3,24.6,68,2.8,240,7.8,270,0.0,0.0,0.7,1.25,14.0,2,3.0
2010-07-06-09,1003.6,1004.3,33.0,25.0,63,1.8,250,7.1,240,0.0,0.0,1.0,1.76,15.0,4,4.0
2010-07-06-10,1003.8,1004.5,34.0,25.2,60,2.4,220,7.0,290,0.0,0.0,0.7,1.70,N/A,5,5.0
2010-07-06-11,1003.6,1004.3,35.5,24.6,53,3.3,270,9.1,280,0.0,0.0,0.7,1.95,18.0,7,4.0
2010-07-06-12,1002.8,1003.5,36.5,23.8,48,4.2,260,11.1,290,0.0,0.0,1.0,2.46,N/A,10,4.0
2010-07-06-13,1002.7,1003.4,36.4,23.9,49,5.2,240,13.2,260,0.0,0.0,1.0,2.40,N/A,10,4.0
2010-07-06-14,1002.5,1003.2,36.8,23.4,46,5.7,260,17.0,270,0.0,0.0,1.0,2.28,18.0,8,4.0
2010-07-06-15,1002.4,1003.1,36.5,23.3,47,5.5,250,15.2,270,0.0,0.0,1.0,1.80,N/A,6,4.0
2010-07-06-16,1002.1,1002.8,35.8,23.3,49,4.8,220,12.3,210,0.0,0.0,0.7,1.31,N/A,3,8.0
2010-07-06-17,1002.3,1003.0,35.0,22.1,47,4.2,250,14.6,270,0.0,0.0,0.6,0.70,20.0,1,8.0
2010-07-06-18,1002.5,1003.2,34.2,22.0,49,3.5,230,11.1,200,0.0,0.0,0.0,0.31,N/A,0,N/A
2010-07-06-19,1003.3,1004.0,33.7,22.0,51,3.3,260,7.7,250,0.0,0.0,0.0,0.00,N/A,0,N/A
2010-07-06-20,1004.1,1004.8,32.7,23.2,57,1.5,180,5.5,280,0.0,0.0,N/A,0.00,12.0,0,9.0
2010-07-06-21,1004.9,1005.6,31.5,24.1,65,1.9,160,3.3,150,0.0,0.0,N/A,0.00,12.0,0,8.0
2010-07-06-22,1005.6,1006.3,31.2,24.6,68,2.0,150,4.2,160,0.0,0.0,N/A,0.00,N/A,0,N/A
2010-07-06-23,1005.9,1006.6,31.1,24.7,69,1.4,220,3.7,210,0.0,0.0,N/A,0.00,12.0,0,7.0
2010-07-06-24,1005.6,1006.3,30.5,23.5,66,1.1,240,5.1,310,0.0,0.0,N/A,0.00,N/A,0,N/A
2010-07-07-01,1005.3,1006.0,30.2,23.3,67,2.5,250,4.6,270,0.0,0.0,N/A,0.00,N/A,0,N/A
2010-07-07-02,1004.7,1005.4,29.9,23.0,67,1.8,230,5.2,290,0.0,0.0,N/A,0.00,10.0,0,9.0
2010-07-07-03,1004.8,1005.5,29.8,22.9,67,1.4,260,4.7,210,0.0,0.0,N/A,0.00,N/A,0,N/A
2010-07-07-04,1005.7,1006.4,29.5,22.6,66,1.8,250,5.4,270,0.0,0.0,N/A,0.00,N/A,0,N/A
2010-07-07-05,1005.8,1006.5,29.3,22.5,67,1.2,250,6.1,280,0.0,0.0,N/A,0.00,13.0,0,9.0
2010-07-07-06,1006.0,1006.7,29.3,22.6,67,2.0,260,5.9,270,0.0,0.0,0.0,0.00,N/A,0,N/A
2010-07-07-07,1006.3,1007.0,29.9,23.2,67,2.6,250,5.6,260,0.0,0.0,0.2,0.35,N/A,0,N/A
2010-07-07-08,1006.0,1006.7,31.2,23.1,62,3.6,250,8.2,250,0.0,0.0,0.7,1.13,12.0,2,6.0
2010-07-07-09,1006.3,1007.0,33.2,23.9,58,2.7,230,7.5,210,0.0,0.0,1.0,1.60,15.0,4,6.0
2010-07-07-10,1006.4,1007.1,34.4,24.0,55,4.0,260,10.1,280,0.0,0.0,1.0,2.27,N/A,6,5.0
2010-07-07-11,1006.3,1007.0,34.4,23.3,53,5.2,260,11.7,290,0.0,0.0,0.8,2.16,20.0,8,6.0
2010-07-07-12,1005.7,1006.4,36.0,23.2,48,6.2,270,12.4,260,0.0,0.0,0.9,2.58,N/A,10,6.0
2010-07-07-13,1005.8,1006.5,36.8,25.9,54,3.2,290,13.6,260,0.0,0.0,1.0,2.85,N/A,10,7.0
2010-07-07-14,1005.5,1006.2,36.2,25.5,54,3.6,280,10.5,270,0.0,0.0,0.8,2.21,12.0,8,7.0
2010-07-07-15,1005.7,1006.4,34.7,24.8,57,3.3,290,9.5,270,0.0,0.0,0.0,1.12,N/A,4,9.0
2010-07-07-16,1005.9,1006.6,34.2,24.7,58,2.2,280,8.3,290,0.0,0.0,0.0,0.67,N/A,2,9.0
2010-07-07-17,1006.3,1007.0,33.9,24.2,57,4.2,250,8.6,250,0.0,0.0,0.4,0.81,15.0,1,9.0
2010-07-07-18,1006.5,1007.2,33.4,24.2,59,1.6,280,8.3,220,0.0,0.0,0.7,0.52,N/A,0,N/A
2010-07-07-19,1007.1,1007.8,32.5,23.8,60,2.5,280,5.7,280,0.0,0.0,0.0,0.00,N/A,0,N/A
2010-07-07-20,1007.5,1008.2,31.8,23.5,62,1.7,230,6.1,250,0.0,0.0,N/A,0.00,20.0,0,6.0
2010-07-07-21,1007.8,1008.5,31.3,24.0,65,1.8,110,3.4,230,0.0,0.0,N/A,0.00,15.0,0,7.0
2010-07-07-22,1008.4,1009.1,31.5,23.7,63,0.4,310,3.1,70,0.0,0.0,N/A,0.00,N/A,0,N/A
2010-07-07-23,1008.3,1009.0,31.1,23.7,65,0.9,270,3.2,340,0.0,0.0,N/A,0.00,15.0,0,7.0
2010-07-07-24,1007.7,1008.4,30.2,24.4,71,0.6,190,3.6,160,0.0,0.0,N/A,0.00,N/A,0,N/A
2010-07-08-01,1007.4,1008.1,30.2,24.3,71,0.2,0,2.0,150,0.0,0.0,N/A,0.00,N/A,0,N/A
2010-07-08-02,1007.2,1007.9,30.0,23.4,68,2.5,240,4.8,200,0.0,0.0,N/A,0.00,16.0,0,9.0
2010-07-08-03,1006.5,1007.2,29.9,23.4,68,1.1,260,4.0,260,0.0,0.0,N/A,0.00,N/A,0,N/A
2010-07-08-04,1006.6,1007.3,28.9,23.5,73,1.1,170,5.9,280,0.0,0.0,N/A,0.00,N/A,0,N/A
2010-07-08-05,1006.5,1007.2,28.6,23.3,73,2.2,150,3.2,120,0.0,0.0,N/A,0.00,13.0,0,8.0
2010-07-08-06,1007.1,1007.8,28.4,23.7,76,0.2,0,3.2,140,0.0,0.0,0.0,0.00,N/A,0,N/A
2010-07-08-07,1007.4,1008.1,29.0,24.3,76,1.2,170,2.2,150,0.0,0.0,0.0,0.16,N/A,0,N/A
2010-07-08-08,1008.0,1008.7,29.5,24.2,73,0.4,190,2.3,150,0.0,0.0,0.0,0.43,12.0,1,9.0
2010-07-08-09,1008.6,1009.3,31.0,23.8,66,1.1,340,3.2,270,0.0,0.0,0.0,0.60,11.0,2,9.0
2010-07-08-10,1008.2,1008.9,32.8,24.6,62,0.3,50,3.5,270,0.0,0.0,0.1,1.22,N/A,4,8.0
2010-07-08-11,1007.8,1008.5,33.2,24.5,60,1.7,290,5.9,270,0.0,0.0,0.7,2.19,10.0,7,8.0
2010-07-08-12,1007.2,1007.9,34.4,24.2,56,2.1,300,6.7,290,0.0,0.0,1.0,2.41,N/A,8,6.0
2010-07-08-13,1006.1,1006.8,34.3,24.6,57,1.6,240,6.4,210,0.0,0.0,0.7,2.08,N/A,8,8.0
2010-07-08-14,1005.6,1006.3,34.6,25.3,59,1.8,280,6.5,290,0.0,0.0,0.1,1.08,13.0,4,9.0
2010-07-08-15,1005.9,1006.6,33.6,24.8,60,2.9,290,7.5,270,0.0,0.0,0.0,0.68,N/A,2,9.0
2010-07-08-16,1005.9,1006.6,32.8,24.5,62,2.7,270,8.8,310,0.0,0.0,0.0,0.67,N/A,2,9.0
2010-07-08-17,1006.0,1006.7,32.5,24.2,62,1.7,280,7.2,290,0.0,0.0,0.0,0.26,12.0,1,9.0
2010-07-08-18,1006.3,1007.0,31.9,23.3,60,2.6,270,6.6,270,0.0,0.0,0.0,0.00,N/A,0,N/A
2010-07-08-19,1006.7,1007.4,31.5,23.8,64,1.4,260,5.2,270,0.0,0.0,0.0,0.00,N/A,0,N/A
2010-07-08-20,1006.9,1007.6,31.0,23.6,65,1.7,220,5.1,230,0.0,0.0,N/A,0.00,12.0,0,8.0
2010-07-08-21,1007.1,1007.8,30.8,23.7,66,1.4,210,4.1,200,0.0,0.0,N/A,0.00,12.0,0,4.0
2010-07-08-22,1007.0,1007.7,30.5,24.1,69,1.3,200,2.8,140,0.0,0.0,N/A,0.00,N/A,0,N/A
2010-07-08-23,1007.5,1008.2,30.1,24.5,72,0.9,210,3.5,150,0.0,0.0,N/A,0.00,12.0,0,3.0
2010-07-08-24,1007.4,1008.1,29.9,24.6,73,1.4,180,3.2,150,0.0,0.0,N/A,0.00,N/A,0,N/A
2010-07-09-01,1006.9,1007.6,29.0,24.3,76,1.8,150,4.4,160,0.0,0.0,N/A,0.00,N/A,0,N/A
2010-07-09-02,1006.6,1007.3,28.7,23.9,75,2.7,160,4.5,160,0.0,0.0,N/A,0.00,12.0,0,4.0
2010-07-09-03,1006.5,1007.2,28.4,23.8,76,0.9,150,4.4,150,0.0,0.0,N/A,0.00,N/A,0,N/A
2010-07-09-04,1006.5,1007.2,28.0,23.8,78,1.6,120,3.1,200,0.0,0.0,N/A,0.00,N/A,0,N/A
2010-07-09-05,1006.7,1007.4,27.7,23.7,79,0.7,110,3.8,100,0.0,0.0,N/A,0.00,12.0,0,6.0
2010-07-09-06,1007.0,1007.7,27.8,23.8,79,1.4,140,3.5,140,0.0,0.0,0.0,0.00,N/A,0,N/A
2010-07-09-07,1007.4,1008.1,28.6,23.8,75,1.8,160,3.9,180,0.0,0.0,0.5,0.47,N/A,0,N/A
2010-07-09-08,1007.7,1008.4,29.6,24.2,73,0.3,200,2.6,150,0.0,0.0,0.2,0.72,15.0,1,8.0
2010-07-09-09,1007.9,1008.6,31.2,22.8,61,2.2,230,5.2,230,0.0,0.0,0.0,0.83,15.0,2,9.0
2010-07-09-10,1007.7,1008.4,32.2,23.1,59,2.8,260,8.8,290,0.0,0.0,0.0,1.20,N/A,4,9.0
2010-07-09-11,1007.7,1008.4,32.4,23.5,60,4.5,270,8.0,270,0.0,0.0,0.0,1.28,16.0,5,8.0
2010-07-09-12,1007.4,1008.1,33.8,24.3,58,2.3,230,6.3,290,0.0,0.0,0.3,1.64,N/A,6,8.0
2010-07-09-13,1006.7,1007.4,34.3,23.8,54,1.9,220,6.2,230,0.0,0.0,0.5,2.02,N/A,8,7.0
2010-07-09-14,1006.4,1007.1,34.1,23.6,54,1.7,260,4.8,290,0.0,0.0,0.0,0.78,15.0,4,9.0
